room_id;room_type;city;borough;neighborhood;reviews;overall_satisfaction;accommodates;bedrooms;price;property_type
1100255;Shared room;Sao Paulo;SAO PAULO;Pinheiros;0;0.0;4;1.0;19.0;Bed & Breakfast
1100261;Shared room;Sao Paulo;SAO PAULO;Pinheiros;1;0.0;8;1.0;15.0;Bed & Breakfast
9793793;Shared room;Sao Paulo;SAO PAULO;Freguesia do Ó;0;0.0;1;1.0;11.0;House
8295565;Shared room;Sao Paulo;CARAPICUIBA;Carapicuíba;0;0.0;2;1.0;19.0;Apartment
10329063;Shared room;Sao Paulo;SAO PAULO;República;0;0.0;1;1.0;11.0;Apartment
11593950;Shared room;Sao Paulo;SAO PAULO;Bela Vista;0;0.0;1;1.0;30.0;Apartment
17197542;Shared room;Sao Paulo;SAO PAULO;Consolação;0;0.0;2;1.0;14.0;Apartment
17813942;Shared room;Sao Paulo;SAO PAULO;Pinheiros;0;0.0;4;1.0;19.0;House
17084077;Shared room;Sao Paulo;SAO PAULO;Lapa;0;0.0;3;1.0;14.0;House
4916387;Shared room;Sao Paulo;SAO PAULO;Barra Funda;0;0.0;2;1.0;24.0;Apartment
8714837;Shared room;Sao Paulo;SAO PAULO;Pinheiros;0;0.0;1;1.0;24.0;House
1100252;Shared room;Sao Paulo;SAO PAULO;Pinheiros;0;0.0;6;1.0;18.0;Bed & Breakfast
3295522;Shared room;Sao Paulo;SAO PAULO;Perdizes;0;0.0;2;1.0;31.0;Apartment
3326162;Shared room;Sao Paulo;SAO PAULO;Bela Vista;0;0.0;4;1.0;30.0;Apartment
2216774;Shared room;Sao Paulo;SAO PAULO;Pirituba;0;0.0;4;1.0;31.0;Apartment
18076190;Shared room;Sao Paulo;SAO PAULO;Freguesia do Ó;0;0.0;1;1.0;23.0;Apartment
13730082;Shared room;Sao Paulo;SAO PAULO;Jardim Paulista;3;4.0;6;1.0;14.0;Hostel
18471962;Shared room;Sao Paulo;CAIEIRAS;Caieiras;0;0.0;3;1.0;18.0;House
951174;Shared room;Sao Paulo;SAO PAULO;Santa Cecília;0;0.0;2;1.0;41.0;Loft
17603128;Shared room;Sao Paulo;SAO PAULO;Bela Vista;0;0.0;1;1.0;12.0;Apartment
17400053;Shared room;Sao Paulo;GUARULHOS;Guarulhos;0;0.0;5;1.0;31.0;Apartment
2817994;Shared room;Sao Paulo;SAO PAULO;Perdizes;0;0.0;1;1.0;21.0;Apartment
11043772;Shared room;Sao Paulo;BARUERI;Barueri;0;0.0;1;1.0;15.0;Apartment
13315467;Shared room;Sao Paulo;SAO PAULO;Freguesia do Ó;0;0.0;3;1.0;11.0;House
14067752;Shared room;Sao Paulo;CAIEIRAS;Caieiras;0;0.0;16;1.0;22.0;Bed & Breakfast
8739923;Shared room;Sao Paulo;SAO PAULO;Pinheiros;0;0.0;6;1.0;22.0;Dorm
338491;Shared room;Sao Paulo;SAO PAULO;Butantã;0;0.0;1;1.0;15.0;House
2609544;Shared room;Sao Paulo;COTIA;Cotia;1;0.0;2;1.0;11.0;Cabin
13958108;Shared room;Sao Paulo;SAO PAULO;Santo Amaro;1;0.0;1;1.0;21.0;House
16498955;Shared room;Sao Paulo;SAO PAULO;Pinheiros;0;0.0;1;1.0;15.0;Apartment
12124863;Shared room;Sao Paulo;SAO PAULO;Pinheiros;0;0.0;1;1.0;24.0;Apartment
3720510;Shared room;Sao Paulo;SAO PAULO;Consolação;0;0.0;4;1.0;15.0;Bed & Breakfast
17155665;Shared room;Sao Paulo;SAO PAULO;Itaim Bibi;1;0.0;2;1.0;19.0;Apartment
4549855;Shared room;Sao Paulo;SAO PAULO;Vila Andrade;0;0.0;2;1.0;25.0;Apartment
14022951;Shared room;Sao Paulo;SAO PAULO;Campo Belo;1;0.0;11;1.0;15.0;House
